Designator,Reference,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2u,C_0402_1005Metric,133.75,-90.25,90,top
C2,100n,C_0402_1005Metric,143,-87,0,top
C3,100n,C_0402_1005Metric,134.75,-90.25,90,top
C4,10n,C_0402_1005Metric,135.75,-90.25,-90,top
C5,100n,C_0402_1005Metric,142.75,-91.5,180,top
C6,12p,C_0402_1005Metric,130.25,-81,0,top
C7,1u 50V,C_0603_1608Metric,132.5,-94.75,-90,top
C8,2.2u,C_0402_1005Metric,132.5,-92.25,-90,top
C9,6.8p,C_0402_1005Metric,130.25,-85,180,top
C10,100n,C_0402_1005Metric,142.5,-81.5,180,top
C11,100n,C_0402_1005Metric,133.25,-80,0,top
C12,100n,C_0402_1005Metric,139.25,-90.25,90,top
C13,100n,C_0402_1005Metric,138.25,-90.25,90,top
C14,10uF 50V,C_0805_2012Metric,142.75,-94.25,90,top
C15,1u 50V,C_0603_1608Metric,140.5,-97.5,0,top
C16,100n,C_0402_1005Metric,132.25,-81.75,-90,top
C17,100n,C_0402_1005Metric,140.25,-90.23,90,top
C18,100n,C_0402_1005Metric,130.25,-86,0,top
C19,10n,C_0402_1005Metric,138.75,-73.25,180,top
C20,22uF 25V,C_0805_2012Metric,143,-97.5,-90,top
C21,10nF 50V,C_0402_1005Metric,137.75,-93.5,90,top
C22,2.2u,C_0402_1005Metric,145.25,-101.25,90,top
C23,100n,C_0402_1005Metric,143.5,-83.5,180,top
C26,"470n, 10V",C_0402_1005Metric,143,-77,0,top
C28,10n,C_0402_1005Metric,136.75,-73.25,0,top
C29,100n,C_0402_1005Metric,133.75,-78,90,top
C30,100n,C_0402_1005Metric,135.75,-79.8,0,top
C31,100u,C_0805_2012Metric,130.75,-94.75,-90,top
D1,40v 1A B5819WS,D_SOD-323,127.5,-93.5,180,top
D2,40v 1A B5819WS,D_SOD-323,137.5,-96.25,-90,top
D3,LED,LED_0603_1608Metric,151.25,-95,-90,top
D4,SOD24-7 26V breakdown,D_SOD-323,145.5,-93,0,top
D5,40v 1A B5819WS,D_SOD-323,145.5,-94.75,0,top
F1,"6V, 2.2A",Fuse_0805_2012Metric,124,-93.75,180,top
H9,MountingHole_Pad,Mouse bites_7mm,124.731299,-75.268701,45,top
H10,MountingHole_Pad,Mouse bites_7mm,124.75,-99.75,135,top
H11,MountingHole_Pad,Mouse bites_7mm,149.25,-75.25,135,top
H12,MountingHole_Pad,Mouse bites_7mm,149.25,-99.75,45,top
J5,Conn_Coaxial,U.FL_Hirose_U.FL-R-SMT-1_Vertical,142.75,-74.5,90,top
J12,Conn_01x04_Male,JST PH staggered for 1x04 2mm,150.805635,-78.078427,135,top
J18,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,124.25,-87.5,-90,top
J19,Conn_01x08_Male,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,149,-87.4,90,top
L1,100u 450mA,SMNR4020 inductor,132.25,-100,90,top
L3,15u,L_0805_2012Metric,141.75,-78.25,0,top
L4,22u 900mA,SMNR4020 inductor,136.75,-100,90,top
R1,10k,R_0402_1005Metric,123.25,-79.25,0,top
R2,5.1K,R_0402_1005Metric,123.25,-80.25,180,top
R3,5.1K,R_0402_1005Metric,130.25,-89.5,0,top
R4,22,R_0402_1005Metric,130.25,-87.5,0,top
R5,22,R_0402_1005Metric,130.25,-88.5,0,top
R7,3.3K,R_0402_1005Metric,139.5,-101.25,-90,top
R8,300,R_0402_1005Metric,139.5,-99.25,-90,top
R12,3.3k,R_0402_1005Metric,147.75,-94.5,90,top
R13,15k,R_0402_1005Metric,130.25,-91.5,180,top
R14,1.5k,R_0402_1005Metric,130.25,-90.5,0,top
R16,15k,R_0402_1005Metric,144.75,-82,0,top
R18,1.5k,R_0402_1005Metric,144.75,-81,0,top
SW1,SW_DIP_x01,SW-SMD-2_3.6x6.0x8.0,131,-73.75,0,top
U1,STM32G474CEU6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,137,-84.75,0,top
U3,DPS310,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,143,-89.25,90,top
U4,3V3,TSOT-23-5,135,-94.75,90,top
U5,"EUP3458 1.2A, 30V max input, adj output",TSOT-23-6,140,-94.75,90,top
U6,2450FM07D0034T,2450FM07D0034,140.4,-76.25,0,top
U7,W25Q80DVUXIE TR (16M),USON-8_2.0x3.0mm_P0.5mm,143.75,-85.25,180,top
U8,SX1281,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,137,-76.5,-90,top
U9,"5v, 500mA",TSOT-23-5,142.5,-100.5,0,top
Y1,16M,Crystal_SMD_2016-4Pin_2.0x1.6mm,130.25,-83,180,top
Y2,"52Mhz, 12pF",Crystal_SMD_3225-4Pin_3.2x2.5mm,131.5,-77.25,-90,top
